word,Lg10WF,AoA,Prevalence,SemD,Conc.M
advertising,2.5798,9.95,2.26,1.45,3.88
bunk,2.5065,6.587683333,2.1,1.33,4.3
cellar,2.6803,8.53459899,2.21,1.61,4.68
cycle,2.4786,6.523698283,2.58,1.87,3.64
diary,2.6618,7.72,2.18,1.81,4.5
donna,3.0558,,,,
heartbeat,2.4548,7.22,2.25,1.45,4.08
hiring,2.4472,8.626701828,2.44,1.9,
jolly,2.5832,5.873430303,2.24,1.7,2.34
lasts,2.4031,5.328141129,2.34,1.95,
lethal,2.4624,10.40317576,2.33,1.8,3.04
physician,2.4969,9.84545,2.43,1.38,4.65
precise,2.4249,9.912016162,2.42,2.1,2.39
punched,2.4518,5.767700313,2.32,1.58,
respectable,2.4609,8.33,2.16,1.75,1.85
shipping,2.5092,9.15,2.42,1.45,3.59
supposedly,2.42,,,1.97,1.86
surgical,2.6128,10.61,2.34,1.29,2.89
telegram,2.6739,10.78,2.32,1.55,4.63
topic,2.4346,8.451150505,2.26,1.7,2.59
arrogant,2.4265,9.95,2.26,1.55,2.07
clowns,2.5024,3.722024194,2.43,1.53,
clues,2.5065,6.362605208,2.58,1.83,
clumsy,2.4409,7.263420202,2.12,1.86,2.77
dental,2.4997,7.310236364,2.32,1.58,3.08
drivers,2.5328,5.35335,2.25,1.43,
employment,2.4362,9.6034,2.58,1.58,3.3
fastest,2.4757,4.56553,2.43,1.62,
feature,2.4757,7.892860606,2.17,2.15,2.96
fragile,2.42,8.394153131,2.58,2,2.86
heroin,2.7007,10.88,2.44,0.86,4.57
reaches,2.4281,5.076978542,2.11,1.95,
reconsider,2.4099,9.68,2.26,1.96,1.97
savage,2.5635,9.130942955,2.43,1.69,2.71
underestimate,2.4133,9.6,2.25,1.99,2.04
accuse,2.4639,8.523909091,2.09,1.87,2.25
ambition,2.4378,10.41335,2.58,1.86,1.74
annie,3.248,,,,
boobs,2.574,,,,
consult,2.4564,10.79817576,2.25,1.95,3.04
freshman,2.5752,10.45,2.33,,3.79
martini,2.6085,11.74,2.26,1.52,4.83
ohio,2.6484,,,,
preserve,2.4594,9.770531515,2.58,2.07,2.57
relieve,2.4548,8.918682323,2.42,1.92,2.47
allowing,2.3997,6.120925,2.17,2.26,
appointed,2.433,10.26593333,1.93,1.79,
articles,2.49,8.088493333,2.43,1.77,
beam,2.6493,7.959903125,2.44,1.52,3.96
butts,2.4669,5.853154167,2.05,1.6,
commanding,2.5478,12.85,2.58,1.64,2.31
educated,2.4518,,,1.5,2.19
glow,2.4683,6.293719792,2.42,1.56,3.65
hitler,2.7987,,,,
promoted,2.4579,10.34321152,2.58,2.01,
rainbow,2.6107,4.083537374,2.34,1.61,4.57
requests,2.4378,8.870369697,2.32,1.89,
rocky,2.9074,,,1.36,4.17
sidewalk,2.4472,4.28,2.26,1.18,4.96
tab,2.4698,8.8588,2.25,1.14,4.14
throne,2.6454,6.992270968,2.42,1.25,4.64
withdraw,2.5289,9.782793939,2.42,1.99,3.04
bake,2.5105,5.407711406,2.24,0.77,4.21
bites,2.4487,4.120741667,2.44,1.53,
farther,2.4594,4.757838438,1.81,1.71,2.7
feather,2.5302,4.745884848,2.58,1.67,4.9
frequency,2.5289,10.00663,2.24,1.55,2.69
greet,2.4298,7.037190833,2.02,1.71,2.96
grocery,2.4487,5.72,2.26,1.55,4.31
masters,2.5877,7.238375758,2.34,1.76,
murderers,2.48,8.26,2.42,1.49,
pains,2.4314,4.918221406,2.44,1.66,3.65
pledge,2.5465,8.535967708,2.34,1.84,2.61
spider,2.7126,3.936229697,2.44,1.51,4.97
unacceptable,2.4346,9.94,2.58,2.03,1.73
waving,2.4265,4.605182188,2.33,1.66,3.52
whale,2.7597,5.719916875,2.58,1.15,4.96
definition,2.4728,9.75715,2.17,1.86,3.07
deserted,2.4425,6.825609091,2.24,1.72,2.72
detect,2.4183,9.198309091,2.33,1.82,2.19
detectives,2.534,7.05665,2.34,1.14,
fax,2.5539,,,1.33,4.48
mattress,2.5289,5.850751515,2.25,1.36,5
med,2.5378,,,,
mentally,2.4639,,,1.5,1.93
meter,2.5024,8.470618182,2.34,1.53,4.7
purely,2.4133,,,2.07,1.68
trading,2.4857,,,1.65,3.14
waits,2.4886,4.8040975,2.12,1.66,
acquaintance,2.4378,10.48,2.26,1.69,3.41
calendar,2.5611,5.89,2.58,1.85,4.62
championship,2.6998,9.37,2.44,1.15,3.23
collapsed,2.4624,9.18010303,2.44,1.94,
courts,2.4786,8.075612903,2.3,1.5,
dried,2.4133,,,1.67,3.54
hideous,2.4393,9.392265,2.34,1.61,2.61
jealousy,2.4683,8.02698,2.18,1.53,1.8
judy,2.9689,,,,
listens,2.4472,4.77983899,2.43,1.61,
obliged,2.4713,11.52147475,2.17,2.04,2.21
ol,2.5798,,,,
poke,2.4757,5.244242188,2.44,1.8,4.22
ropes,2.4829,5.21,2.58,1.53,4.78
siren,2.525,7.037728283,1.97,1.63,4.45
vampire,2.9518,7.285236364,2.35,1.43,4.18
wrestling,2.6503,6.89,2.27,1.78,4.38
bam,2.5587,,,,
brat,2.5024,6.104774194,2.09,1.4,3.62
chap,2.5119,9.284508387,2.16,1.51,3.9
charts,2.5237,7.529039792,2.44,1.51,
debts,2.4942,10.12400656,2.35,1.42,
dudes,2.5391,,,,
groceries,2.48,5.72,2.24,1.51,4.74
holler,2.48,,,,3.57
identical,2.4518,8.72,2.43,2.01,3.5
jefferson,2.7404,,,,
jordan,3.0077,,,1.35,
parlor,2.4829,9.388690909,1.82,,4.28
ralph,2.8943,,,1.67,
repay,2.4249,9.75,2.58,1.6,2.52
slower,2.4232,4.488056989,2.25,1.94,
stressed,2.4533,9.867216875,2.58,2.04,
sunrise,2.4914,5.72,2.44,1.7,4.69
youngest,2.4082,5.136783011,2.58,1.58,
dammit,2.5821,,,1.24,
dances,2.4814,4.93514375,2.44,1.23,
database,2.4639,,,1.13,4
defensive,2.4456,9.89,2.12,1.78,2.07
distract,2.3979,8.671963636,2.44,1.87,2.33
ensure,2.4048,10.71628283,2.12,2.06,1.68
kidnap,2.5211,7.44,2.33,1.43,3.83
miracles,2.525,6.8,2.25,1.57,
mustard,2.5185,5.823261439,2.33,1.18,4.93
noted,2.3909,6.057397984,2.25,2.16,3.15
opportunities,2.3979,9.55275,2.33,1.87,
phoebe,3.3326,,,,
phoenix,2.7451,,,1.58,4.3
pretended,2.3874,4.974024242,1.88,1.62,1.65
races,2.5428,5.262667292,2.33,1.25,
sponge,2.5353,5.36093125,2.58,1.45,5
steven,2.8998,,,,
wit,2.4814,10.49863281,1.92,1.66,1.93
z,2.7774,,,,
ambassador,2.8388,11,2.16,1.56,4.28
bolt,2.5465,7.61054375,2.34,1.6,4.67
erase,2.5024,5.372230303,2.23,1.8,3.79
fails,2.4183,6.626171042,2.44,2.05,
peek,2.4362,6.1975625,2.58,1.64,3.62
poisoning,2.4814,8.14,2.26,1.51,3.41
possess,2.4487,10.6553202,1.97,1.95,2.6
psych,2.5378,,,,2.04
relevant,2.4579,10.37,2.34,1.94,1.72
rick,3.1261,11.1621,0.76,1.46,
sausage,2.5999,5.448845455,2.33,1.5,4.88
scored,2.4683,5.708082292,2.58,1.25,3.17
skipped,2.4133,5.166414792,2.44,1.63,
snuck,2.3747,,,,3
sofa,2.4771,5.262307071,2.34,1.38,4.9
apples,2.6274,3.781748485,2.58,1.56,
cape,2.6243,6.249578125,2.58,1.51,4.77
caution,2.4216,7.336325253,2.44,2.11,2.04
christopher,2.9671,,,,
earl,3.0183,10.54646882,1.75,1.21,2.85
fiction,2.4928,7.121558586,2.58,1.19,2.14
hank,3.1113,10.89065,0.87,1.17,
hips,2.4914,5.96090625,2.32,1.3,
involves,2.4082,9.198575051,2.43,1.99,
noses,2.3874,3.487208602,2.24,1.81,
opinions,2.4099,8.837265,2.05,1.85,
recognise,2.4757,,,2.04,
reflection,2.4099,5.5,2.43,2.01,3.29
refuses,2.3927,8.198357576,2.24,1.93,
rescued,2.4425,7.227360606,2.09,1.81,
scam,2.4969,,,1.41,2.64
stray,2.4362,7.569821875,2.34,1.8,2.76
suggests,2.4099,8.419318788,2.58,2.02,
thorough,2.382,8.878309091,2.58,2.1,1.66
trophy,2.5866,6.316141414,2.43,1.24,4.89
yay,2.5403,,,,
african,2.5391,,,1.37,
baggage,2.5038,8.074106061,2.58,1.49,4.43
bass,2.5866,8.723228125,2.33,1.02,4.31
bathtub,2.4942,3.22,2.25,,4.92
cigars,2.5328,8.467837374,2.17,1.44,
consistent,2.4683,10,2.24,2.07,2.21
corrupt,2.4346,10.84905152,2.24,1.68,2.03
disrespect,2.4281,8.78,2.25,1.97,1.93
easter,2.5832,,,1.76,2.83
felony,2.4564,12.45,2.18,1.11,3.5
handwriting,2.48,5.4,2.32,1.31,4.59
justify,2.4099,10.4,2.23,1.93,1.45
laser,2.6375,8.404272727,2.19,1.4,4.5
obsession,2.4624,9.61,2.44,1.82,1.7
panicked,2.42,7.891353535,2.05,1.68,2.52
psychology,2.4472,11.86128,2.44,1.25,2.31
rang,2.444,4.919590081,1.76,1.41,3.54
spark,2.5065,7.566842708,2.58,1.93,4.25
theories,2.4425,10.02059495,2.31,1.39,
bourbon,2.5051,12.14252727,2.01,1.41,4.93
cereal,2.5119,4.73925,2.58,1.27,4.83
defeated,2.4548,8.310852121,2.44,1.75,2.59
gladly,2.4116,,,1.8,1.81
involvement,2.3979,9.22,2.43,2.01,1.46
irrelevant,2.42,11.06,2.25,1.99,1.5
longest,2.3874,5.052004375,2.32,2.1,
measures,2.4298,7.096541742,2.31,1.93,
owners,2.4669,7.092215,2.58,1.79,
peggy,2.9385,,,,
platform,2.4969,8.456927273,2.43,1.68,4.48
rendezvous,2.4955,11.58945,1.89,1.42,2.75
shifts,2.4232,8.59428125,2.33,1.84,
spying,2.4472,7.221832708,2.58,1.6,
urine,2.5224,9.5227,2.24,1.32,4.93
winners,2.5105,5.55,2.43,1.39,
biological,2.4786,10.95,2.14,1.48,3.11
climbed,2.4082,5.28453125,2.44,1.49,
clip,2.4639,6.847343548,2.33,1.66,4.37
embarrassment,2.3945,6.28,2.45,1.87,2.43
overwhelming,2.4014,9.94,2.34,2.07,1.78
premises,2.415,12.78,2.05,1.61,3.2
repeating,2.433,7.147575379,2.24,2.01,
ski,2.617,7.218153333,2.44,1.19,4.63
stamp,2.4814,5.818296022,2.32,1.97,4.7
teaches,2.4249,5.263095806,2.43,1.71,
vomit,2.4362,6.962268687,2.58,1.49,4.75
walker,2.9079,,,1.83,4.42
canyon,2.6222,9.313,2.09,1.29,4.81
chow,2.5453,8.976070833,1.92,,4.47
comb,2.4914,4.90074875,2.42,1.41,5
delivering,2.3874,6.63,2.34,1.97,
extension,2.4409,8.65,2.44,2.12,2.93
goddess,2.6513,8.97459899,2.25,1.12,2.63
improved,2.3636,7.928931591,2.19,2.06,
noisy,2.4116,5.33,2.26,1.85,3.56
pissing,2.4065,,,1.22,
reserved,2.4133,9.655028283,2.33,2.14,2.04
sadly,2.382,,,1.99,2.43
snapped,2.4014,5.782309677,2.44,1.45,3.67
starved,2.3747,,,1.93,2.96
vincent,2.9763,,,,
volunteers,2.4216,8.06238,2.35,1.66,
wrecked,2.4362,7.405836406,2.23,1.74,
accusing,2.4031,8.523909091,2.09,1.83,
bean,2.5441,3.981476563,2.44,1.56,5
berlin,2.8363,,,,
breach,2.5024,11.69170313,2.58,1.43,2.48
click,2.5159,6.595932292,2.25,1.44,4.03
dash,2.49,6.954733441,2.33,1.87,3.39
deadline,2.4771,9.496448485,2.31,1.85,2.66
glue,2.4786,4.889271458,2.31,1.42,4.65
handing,2.3784,2.93841129,2.26,1.99,
interior,2.4281,9.40945,2.44,1.67,3.59
mainly,2.4099,,,2.23,2
motto,2.4166,10.24503636,2.1,1.93,2.48
offence,2.4378,9.89,1.21,1.31,3.07
offend,2.4265,9.246138384,2.58,1.85,1.68
pregnancy,2.525,9.16,2.32,1.13,4.31
produced,2.4298,8.392826061,2.43,2.18,2.68
reduced,2.3962,8.817204343,2.44,2.17,2.21
romeo,2.7033,,,,
satan,2.6128,,,1.17,
sip,2.4166,4.330367188,2.11,1.33,4.17
specialist,2.4232,10.11465,2.44,1.9,3
statements,2.4472,9.058207071,2.43,1.76,
tracked,2.3997,7.277269792,2.34,2,2.93
waist,2.42,6.620020833,2.33,1.4,4.72
bein,2.5119,,,,
careless,2.4014,8.37,2.25,1.85,1.78
coats,2.4786,4.001,2.31,1.68,
colored,2.5775,5.95,2.3,,4
concerning,2.3997,,,2.05,1.55
confessed,2.4843,7.865851515,2.44,1.8,
confirmation,2.4487,9.05,2.32,2.01,2.39
crappy,2.4048,7.72,2.19,,1.67
deepest,2.3927,5.44116129,2.32,1.86,
den,2.4955,5.739669355,2.18,1.88,4.57
departure,2.4409,9.78,2.58,1.92,3.07
framed,2.4548,7.615135484,2.34,1.77,3.96
ken,2.932,,,1.66,
lid,2.4014,5.56646875,2.44,1.61,4.96
secured,2.42,8.7564,2.34,1.97,
seventeen,2.4728,,,1.81,3.19
smiled,2.4014,3.802460938,2.58,1.32,
strongest,2.3856,5.056658333,2.43,2.15,
tourists,2.4425,8.4594,2.43,1.59,
visions,2.6243,7.388790909,2.43,1.71,
ambitious,2.3874,11.05,2.44,2.04,1.81
bon,2.4728,,,,
cafeteria,2.4624,7.15,2.24,1.62,4.71
contains,2.4166,8.072640404,2.11,2.01,
denver,2.6253,,,,
elaborate,2.3856,11.53,2.16,1.96,2.68
formed,2.3838,7.593316667,2.33,2.12,3.04
gasoline,2.5237,6.25,2.44,1.48,4.72
handcuffs,2.4216,6.28,2.12,1.46,
jumps,2.4048,3.924475,2.58,1.61,
laura,3.1611,,,,
perfection,2.4409,9.81,2.33,1.82,1.9
poster,2.4857,7.441648485,2.58,1.7,4.66
sane,2.4502,9.337282292,2.25,1.74,1.79
shipment,2.5092,9.788690909,2.44,1.47,4.48
smokes,2.42,5.482875938,2.42,1.39,
survivors,2.5237,7.95,2.25,1.79,
thoroughly,2.3874,8.74051,2.44,2.03,2.19
un,2.5911,,,1.48,
update,2.4031,9,2.44,1.63,2.79
cheaper,2.4014,6.779126882,2.27,1.84,
concentration,2.4518,8.35,2.58,1.9,2.1
confuse,2.3874,7.591028864,2.58,2.01,2.04
drums,2.5658,5.238580968,2.58,1.32,4.79
economy,2.4728,12.56,2.06,1.72,2.57
fleet,2.7332,9.806468817,2.25,1.54,3.81
hatred,2.4425,8.36451,2.25,1.62,2
leaf,2.4249,4.670731183,2.26,1.47,5
permanently,2.3909,,,2.12,2.62
region,2.4099,9.249418258,2.58,1.88,3.19
salvation,2.4099,10.0021,2.58,1.43,2.07
sis,2.6031,,,1.42,3.75
strap,2.4216,6.184626882,2.43,1.49,4.79
submit,2.4518,9.32994404,2.58,1.95,2.68
swept,2.3874,5.365952097,2.31,1.83,3
terry,3.0508,,,1.62,
utterly,2.3979,,,1.82,1.69
wizard,2.7348,6.107163636,2.27,1.41,4.43
anne,3.0278,,,,
democracy,2.5289,10.92812,2.09,1.44,1.78
engineering,2.5237,11.052665,2.42,1.63,2.69
robot,2.7938,5.773509091,2.34,1.45,4.65
scrub,2.5038,6.89532,2.24,1.5,3.86
sector,2.5575,12.08567071,2.23,1.59,3.41
settlement,2.5092,9.0911,2.3,1.68,3.07
smelling,2.4048,4.191051719,2.43,1.6,3.58
stereo,2.4843,5.95,2.24,1.24,4.63
swiss,2.5079,,,1.8,
wheelchair,2.5011,6.89,2.04,1.77,4.93
yale,2.8663,,,,
advised,2.4281,8.990608283,2.26,2.09,2.45
aliens,2.692,7.5,2.43,1.54,3.86
bluff,2.5024,9.450248958,2.43,1.76,3
clay,2.7875,5.97455,2.23,1.54,4.93
cocaine,2.6253,12.00990303,2.33,1.07,4.52
decade,2.3945,9.877345455,2.44,1.99,3.19
execute,2.4533,10.22,2.58,1.58,2.76
expectations,2.4298,10.32,2.24,1.84,
flipped,2.4048,5.359796875,2.43,1.4,
fog,2.6839,6.087570313,2.16,1.64,4.66
marshal,2.9547,10.39115,1.36,1.44,4.41
peak,2.4829,7.437730208,2.58,1.88,4.2
plea,2.5441,9.821077419,2.13,1.84,2.39
recommendation,2.4133,10.86,2.44,1.9,2.87
shirley,2.9269,,,,
simon,3.1035,,,,
suckers,2.4014,6.11,2.44,1.46,
tech,2.5145,12.9,1.8,1.79,3.03
til,2.6375,,,,
travis,2.8476,,,,
tricked,2.4014,5.919953125,2.58,1.7,
visits,2.3692,5.328263333,2.43,1.92,
anderson,2.8756,,,,
blink,2.4133,5.576513333,2.35,1.65,4.39
brace,2.5051,7.605403226,2.58,1.81,3.96
buckle,2.4116,6.712993939,2.43,1.7,4.71
caesar,2.7177,,,1.3,
cooper,2.9484,,,1.86,
cracks,2.4014,5.933197312,2.58,1.57,
elvis,2.7308,,,,
freaky,2.4082,7.6,2.24,,2
freezer,2.4216,4.63,2.34,1.38,4.87
imagining,2.3945,6.52049,2.34,1.69,
instructed,2.3784,9.25689697,2.43,1.97,2.41
lifestyle,2.4031,,,1.77,2.14
meaningless,2.3962,10.44,2.58,1.92,1.86
mortgage,2.48,12.23535152,2.16,1.19,3.14
murdering,2.3838,8.035495152,2.23,1.22,3.33
organs,2.48,8.160109091,2.58,1.51,
prettier,2.3802,4.983886818,2.58,1.6,
programs,2.4548,8.250169697,2.32,1.03,
qualities,2.4014,8.78,2.33,1.83,
rib,2.48,6.559226563,2.44,1.33,4.9
rubbing,2.3838,5.413695313,2.34,1.67,3.76
russians,2.7084,,,1.2,
springs,2.5694,5.581304167,2.44,1.89,
tobacco,2.5527,7.3577,2.07,1.42,4.88
traces,2.4116,7.152397849,2.43,1.88,
underwater,2.5105,,,1.43,3.78
volunteered,2.3909,8.06238,2.35,1.81,
accompany,2.3856,10.75,2.58,2.05,3.07
behaviour,2.4409,,,1.67,
biting,2.3997,4.120741667,2.23,1.72,3.93
civilians,2.4871,9.76,2.32,1.33,
claire,3.1912,,,,
frustrated,2.4082,,,2.05,2.47
jurisdiction,2.4346,12.75,1.94,1.25,2.07
millionaire,2.4654,7.06,2.34,1.62,3.6
mule,2.5551,6.238226042,2.32,1.54,5
peanuts,2.5866,4.72,2.43,1.52,4.9
pets,2.4639,4.158516092,2.58,1.2,
pier,2.525,8.73925,2.13,1.46,4.62
precinct,2.574,11.75740333,1.87,1.54,3.67
spells,2.4713,5.358616532,2.44,1.65,
streak,2.4713,8.71356875,2.42,1.88,3.67
unstable,2.4166,10.42,2.34,1.92,2.52
whining,2.3892,6.161433333,2.11,1.51,
battles,2.4166,6.697436263,2.58,1.82,
bonds,2.5328,8.944772581,2.06,1.35,
boyfriends,2.415,,,1.4,
chewing,2.4502,,,1.61,
crib,2.5011,5.154257813,2.33,1.42,4.86
desires,2.4048,9.322354646,2.43,1.51,
disposal,2.3997,10.75,2.26,1.7,2.89
expects,2.382,8.053083131,2.35,1.59,
finance,2.4378,10.98492323,2.44,1.79,3.36
francis,2.943,,,1.72,
highness,2.9074,7.35,1.93,0.98,2.44
interviews,2.4298,10.1373,2.33,1.54,
lightly,2.3729,,,1.63,2.6
marines,2.692,9.8,2.17,1.33,
mild,2.3909,7.556076042,2.2,1.86,2.48
morris,2.8791,,,,
peach,2.5119,4.742621505,2.33,1.59,4.9
screamed,2.3945,4.941137581,2.27,1.27,
scumbag,2.4502,,,,3.76
sincerely,2.3979,,,1.02,1.37
stew,2.5172,6.634503906,2.44,1.5,4.43
suitable,2.3945,9.082325,2.2,2.08,1.93
wee,2.6385,,,1.42,3.14
willie,3.039,,,,
compromised,2.4014,10.086685,2.58,2.02,
demonstrate,2.3784,9.05,2.25,2.13,2.53
efficient,2.4048,11.53,2.33,1.92,1.82
flavor,2.4082,6.167612121,2.09,,3.55
graveyard,2.4362,6.06,2.43,1.54,4.83
gutter,2.4281,7.802478788,2.14,1.59,4.85
hut,2.8293,7.139234375,2.58,1.49,4.65
inspection,2.4786,8.47,2.58,1.88,3.12
instantly,2.3674,8.12764,2.25,1.77,2.44
interrogation,2.4624,10.67,2.24,1.49,3.33
lust,2.4548,11.4987,2.34,1.48,2.15
masks,2.4624,5.537595833,2.35,1.84,
matthew,2.8982,,,,
pine,2.5011,6.758054167,2.3,1.47,4.37
preliminary,2.3892,12.28,2.15,2.08,1.83
prey,2.4502,8.670064583,2.44,1.2,3.61
primitive,2.4216,9.28,2.44,1.58,2.33
sew,2.4487,6.104245591,2.24,1.03,3.93
tubes,2.5289,6.388954167,2.33,1.59,
visible,2.4048,8.05,2.23,2.01,3.08
chorus,2.4928,7.626723131,2.25,1.5,4.03
contracts,2.4728,9.994726263,2.44,1.54,
corners,2.4409,5.21,2.32,1.82,
fantasies,2.4082,8.4,2.58,1.5,
flashlight,2.4814,5.61,2.42,1.28,5
heap,2.3979,7.761424138,2.43,1.71,3.9
humiliation,2.3784,8.21,2.58,1.74,1.96
internet,2.525,,,,3.64
merchandise,2.3909,9.26,2.44,1.59,4.52
porter,2.9009,10.6,1.92,1.72,4.15
prostitute,2.5866,11.78,2.58,1.46,4.28
queer,2.4728,11.07940208,2.33,1.42,2.04
resolve,2.3945,10.47156162,2.45,2.08,1.96
restore,2.4048,9.857039015,2.58,2.05,2.79
retarded,2.5038,8,2.32,1.7,2.57
scoop,2.4624,5.845357292,2.31,1.78,4.15
selected,2.3979,7.693789899,2.43,2.04,2.68
showers,2.3892,6.331639697,2.17,1.63,
thread,2.4216,6.536611494,2.44,1.76,4.83
towns,2.4654,5.47843125,2.44,1.62,
vehicles,2.4871,6.64085,2.43,1.52,
vengeance,2.4425,10.63,2.1,1.72,2.04
verify,2.3962,10.28,2.18,1.86,2.1
abilities,2.4955,8.90485,2.33,1.72,
aircraft,2.6839,7.61,2.44,1.17,4.4
australia,2.6345,,,1.62,
beep,2.5224,5.32,2.25,,4
convict,2.5119,10.74614747,2.58,1.34,4.11
dearly,2.3979,7.57408,2.11,1.74,1.6
era,2.4654,11.01452121,2.25,1.93,2.24
essential,2.3945,10.28,2.43,2.13,1.52
flirting,2.4346,,,1.57,2.46
germans,2.8041,,,1.19,
jew,2.7404,,,1.13,
maiden,2.4518,9.526885859,2.42,1.67,4.24
mars,2.7292,7.1931,1.96,1.46,4.48
proving,2.3617,8.011711828,2.23,2.09,1.77
rider,2.5955,6.37,1.95,1.22,4.07
sixty,2.444,5.7567,2.58,1.74,3.56
slaughter,2.4456,9.751971212,2.58,1.64,3.68
umbrella,2.5832,5.9357,2.33,2,5
alpha,2.618,11.47362424,2.23,1.04,1.81
attaboy,2.4639,,,,
childish,2.3997,6.33,2.58,1.63,2.52
conclusions,2.3962,9.9892,2.44,1.9,
faggot,2.5453,,,,3.57
globe,2.4265,6.679059375,2.35,1.85,4.59
hotels,2.4116,6.077842424,2.33,1.29,
keen,2.3598,9.8024625,2.07,2.08,1.61
lawsuit,2.4942,10.56,2.24,1.56,2.94
majority,2.4183,9.69195,2.43,2.01,2.54
mansion,2.5185,7.723745455,2.19,1.57,4.89
musician,2.49,7.32227,2.43,1.28,4.42
professionals,2.3655,9.4023,2.43,1.68,
projects,2.4564,8.002993939,2.23,1.69,
ruth,3.0233,,,,
stalking,2.4314,8.589620833,2.44,1.65,3.07
supporting,2.3711,8.203056869,2.45,2.13,2.52
vacuum,2.4698,7.503015,1.93,1.89,4.22
violated,2.3692,10.53,2.43,1.74,
bark,2.4487,4.867321505,2.58,1.36,4.52
cole,3.1738,,,,
comments,2.3784,8.873446465,2.31,1.98,
corridor,2.4548,8.09485,2.03,1.41,4.72
crucial,2.3711,10.42048485,2.24,2.11,2.08
defence,2.6128,,,1.84,
examination,2.4502,8.5321,2.58,1.83,3.93
explosives,2.5211,9.19,2.23,1.39,
features,2.3892,7.892860606,2.17,2.03,
handles,2.3522,6.331035354,2.43,1.72,
heh,2.8785,,,,
loneliness,2.4082,8.74,2.25,1.47,2.37
matching,2.3636,7.56,2.26,1.82,2.82
missile,2.8267,8.569837374,2.06,1.22,4.83
partial,2.3945,10.08227879,2.3,2.1,2.31
pond,2.5105,5.116872043,2.44,1.34,4.9
prosecution,2.6042,11.83,2.07,1.31,1.93
rally,2.567,10.37458788,2.26,1.64,3.34
roman,2.7284,9.52,1.95,1.36,3.33
scissors,2.534,4.539539394,2.2,1.54,4.85
sufficient,2.3874,11,2.26,2.13,1.9
tails,2.4639,4.301463542,2.44,1.69,
temporarily,2.3674,9.78832,2.43,2.19,2.04
tequila,2.4771,13.67,2.26,1.2,4.77
tipped,2.3892,6.097,2.43,1.85,3.81
bruises,2.4314,6.0275625,2.26,1.6,
cheeks,2.3541,5.036466667,2.24,1.33,
considerable,2.3655,10.42,2.33,2.14,2.14
craft,2.4624,6.909448548,2.44,1.71,3.48
crank,2.4362,9.994203125,2.24,1.58,4.5
directors,2.4713,8.5,2.32,1.48,
elementary,2.3856,6.11,2.43,1.69,2.24
employer,2.4393,10.15,2.26,1.32,3.81
lifting,2.3464,5.38914125,2.43,1.8,3.9
maggie,3.1377,,,,
maker,2.4014,7.0571,2.58,1.77,3.9
orleans,2.7404,,,,
patty,2.752,,,,4.38
slaves,2.618,7.3485225,2.44,1.44,
sought,2.382,7.035188542,2.32,2.11,2.26
stash,2.4116,10,2.58,,3.73
translation,2.3802,10.3282,2.43,1.65,2.96
virtue,2.4216,10.88224545,2.11,1.86,1.62
affects,2.3892,8.914345455,2.25,2,
associates,2.3997,10.83,2.43,1.91,
coordinates,2.5428,10.89,2.24,0.91,
designer,2.4281,9.28077,2.32,1.48,3.78
dismiss,2.4472,8.615477778,2.32,1.98,2.39
fade,2.4579,7.76795,2.34,1.9,2.48
feds,2.5563,,,,
fuzzy,2.4742,5.05,2.24,1.82,3.96
heavenly,2.4518,6.22,2.24,1.35,1.5
instruments,2.42,7.009915,2.43,1.64,
interference,2.3766,10.28,2.01,2.01,2.93
lawrence,2.8432,,,,
neighbourhood,2.4713,,,1.74,
pajamas,2.4742,4.27,1.63,,4.73
pause,2.4409,7.067197661,2.33,1.66,2.38
radiation,2.6232,11.44,2.31,1.16,3.43
reader,2.4456,5.37,2.22,1.46,3.89
reckless,2.4014,9.06,2.25,1.61,2.36
relate,2.3856,9.406910101,2.17,1.98,2
sensation,2.3979,9.17,2.24,1.54,2.87
stakes,2.3979,8.741983333,2.43,1.49,
stitches,2.4082,7.649016129,2.44,0.92,
strangely,2.3598,,,1.79,1.92
ungrateful,2.3729,9.15,2.24,1.61,1.63
acquainted,2.3655,,,1.83,2.37
adjourned,2.3997,12.50804242,1.64,1.36,
arguments,2.3636,7.55,2.25,1.84,
choking,2.4166,6.220031458,2.18,1.5,4.33
cleveland,2.7042,,,,
comforting,2.3483,8.67,2.58,1.78,2.41
dennis,2.932,,,,
enthusiasm,2.3617,9.6619,2.58,2,2.34
feathers,2.4654,4.745884848,2.58,1.31,
hunk,2.4216,8.711976563,2.12,1.4,3.79
mint,2.444,6.147702083,2.35,1.47,4.54
numb,2.3979,8.430328125,2.58,1.33,3.1
rum,2.5832,10.93140625,2.43,1.57,4.93
shaft,2.5955,10.02157527,2.43,1.52,4.71
sights,2.3784,6.058665,2.32,1.81,
slot,2.4487,7.342314516,2.33,1.67,4.45
swamp,2.6618,7.484005208,2.06,1.77,4.96
thankful,2.4393,6.289915,2.58,1.68,1.69
tick,2.5694,6.540890625,2.44,1.86,4.57
upsetting,2.3404,5.830630303,2.44,1.89,1.86
abroad,2.3997,8.671641818,2.33,1.94,2.72
auction,2.658,10.10766869,2.24,1.2,3.93
committing,2.3655,9.706,1.97,1.84,
disappears,2.3674,5.89871,2.17,1.85,
divided,2.3579,7.114355859,2.24,2.13,3.27
est,2.4997,,,,
ginger,2.5159,7.732187778,2.58,1.5,4.92
granddaughter,2.5198,4.68,1.88,1.48,4.37
groans,2.5922,,,1.61,
